SYMBOL,NAME,PRICEUSD,ID,SUPPLY,EXPLORER
OKB,OKB,21.8872488634646296,okb,60000000.0000000000000000,https://etherscan.io/token/0x75231f58b43240c9718dd58b4967c5114342a86c
CELO,Celo,3.1833134284700578,celo,407486151.0000000000000000,https://explorer.celo.org/blocks
AMP,Amp,0.0305757585184110,amp,42227702186.0000000000000000,
CVX,Convex Finance,25.8172503254895755,convex-finance,49472081.9072501300000000,https://etherscan.io/token/0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
ROSE,Oasis Network,0.3474871192267066,oasis-network,3493014306.2800000000000000,https://www.oasisscan.com/
DASH,Dash,113.8855159638254698,dash,10573662.0172205000000000,https://explorer.dash.org
AR,Arweave,35.4550817908094344,arweave,33394701.0000000000000000,https://viewblock.io/arweave
TFUEL,Theta Fuel,0.2210729625460858,theta-fuel,5301214400.0000000000000000,https://explorer.thetatoken.org/
NEXO,Nexo,2.0878565041544495,nexo,560000011.0000000000000000,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
WAVES,Waves,10.7770634185898643,waves,107462596.0000000000000000,http://wavesexplorer.com/
OMI,ECOMI,0.0069002267711837,ecomi,166285821196.0000000000000000,https://explorer.gochain.io/addr/0x5347FDeA6AA4d7770B31734408Da6d34a8a07BdF
IOTX,IoTeX,0.1187170228187456,iotex,9540779324.3078800000000000,https://etherscan.io/token/0x6fb3e0a217407efff7ca062d46c26e5d60a14d69
DFI,DeFiChain,3.6256852865600781,defichain,300511840.0000000000000000,http://explorer.defichain.io/
XEM,NEM,0.1152084898650394,nem,8999999999.0000000000000000,http://nembex.nem.ninja/
MINA,Mina,2.7631971283081932,mina,374314280.8400392500000000,https://minaexplorer.com/
SCRT,Secret,6.8167655767095273,secret,149815729.0000000000000000,https://www.puzzle.report/
XYM,Symbol,0.1823070833269090,symbol,5582460004.5584020000000000,http://explorer.symbolblockchain.io/
HOT,Holo,0.0055128154987104,holo,173174228546.6286000000000000,https://etherscan.io/token/0x6c6ee5e31d828de241282b9606c8e98ea48526e2
USDP,Pax Dollar,0.9998488933851485,paxos-standard,945642940.1100000000000000,https://etherscan.io/token/0x8e870d67f660d95d5be530380d0ec0bd388289e1
DCR,Decred,68.5539310862837642,decred,13756425.4996112700000000,https://mainnet.decred.org/
XP,Experience Points,0.6437661202086408,experience-points,1430238524.0102800000000000,https://chainz.cryptoid.info/xp/
YFI,yearn.finance,24881.9895686584935175,yearn-finance,36637.7212258800000000,https://etherscan.io/token/0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e
COMP,Compound,135.3165673761780133,compound,6558858.8534615600000000,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888
1INCH,1inch Network,1.8094997111025299,1inch,468182350.8683830000000000,https://etherscan.io/token/0x111111111117dc0aa78b770fa6a738034120c302
CEL,Celsius,3.4052499379179008,celsius,238863519.8260000000000000,https://etherscan.io/token/0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d
